capacity_practice_area_id,core_capacity_area_id,core_capacity_area_name,capacity_practice_area_code,capacity_practice_area_name,capacity_practice_area_definition,guiding_standard_or_principle,indicator_standard_id,global_standard_commitment,example_course_addressable_gap,example_performance_goal,example_practical_proof,default_target_learner_group_id,typical_ksme_diagnosis,typical_course_fit_decision,safeguarding_sensitivity_hint,monitoring_dashboard_category,annex4_source_section,display_order,active_status
CPA_ACC_001,CCA_02_ACC,Transparency and Accountability,CPA_ACC_001,Public information sharing,"Assesses whether the CSO has a clear, documented, and consistently applied practice for public information sharing.",The organization should demonstrate a practical and evidence-informed approach to public information sharing.,DGNEAR_SO3_3,GS_C08; GS_C11,Relevant staff cannot consistently apply or document public information sharing in day-to-day organizational practice.,Use a simple tool or procedure to apply public information sharing in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating public information sharing.",TLG_PROGRAM_MANAGER,Knowledge,Course-addressable,Low,Transparency and Accountability,Annex 4 — Transparency and Accountability,1,Active
CPA_ACC_002,CCA_02_ACC,Transparency and Accountability,CPA_ACC_002,Accessible project information,"Assesses whether the CSO has a clear, documented, and consistently applied practice for accessible project information.",The organization should demonstrate a practical and evidence-informed approach to accessible project information.,DGNEAR_SO3_3,GS_C08; GS_C11,Relevant staff cannot consistently apply or document accessible project information in day-to-day organizational practice.,Use a simple tool or procedure to apply accessible project information in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating accessible project information.",TLG_PROGRAM_MANAGER,Skill,Course-addressable,Low,Transparency and Accountability,Annex 4 — Transparency and Accountability,2,Active
CPA_ACC_003,CCA_02_ACC,Transparency and Accountability,CPA_ACC_003,Funding transparency,"Assesses whether the CSO has a clear, documented, and consistently applied practice for funding transparency.",The organization should demonstrate a practical and evidence-informed approach to funding transparency.,DGNEAR_SO3_3,GS_C08; GS_C11,Relevant staff cannot consistently apply or document funding transparency in day-to-day organizational practice.,Use a simple tool or procedure to apply funding transparency in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating funding transparency.",TLG_PROGRAM_MANAGER,Knowledge,Partly course-addressable,Low,Transparency and Accountability,Annex 4 — Transparency and Accountability,3,Active
CPA_ACC_004,CCA_02_ACC,Transparency and Accountability,CPA_ACC_004,Community feedback,"Assesses whether the CSO has a clear, documented, and consistently applied practice for community feedback.",The organization should demonstrate a practical and evidence-informed approach to community feedback.,DGNEAR_SO3_3,GS_C08; GS_C11,Relevant staff cannot consistently apply or document community feedback in day-to-day organizational practice.,Use a simple tool or procedure to apply community feedback in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating community feedback.",TLG_PROGRAM_MANAGER,Skill,Course-addressable,Low,Transparency and Accountability,Annex 4 — Transparency and Accountability,4,Active
CPA_ACC_005,CCA_02_ACC,Transparency and Accountability,CPA_ACC_005,Complaints handling,"Assesses whether the CSO has a clear, documented, and consistently applied practice for complaints handling.",The organization should demonstrate a practical and evidence-informed approach to complaints handling.,DGNEAR_SO3_3,GS_C08; GS_C11,Relevant staff cannot consistently apply or document complaints handling in day-to-day organizational practice.,Use a simple tool or procedure to apply complaints handling in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating complaints handling.",TLG_PROGRAM_MANAGER,Knowledge,Course-addressable,Low,Transparency and Accountability,Annex 4 — Transparency and Accountability,5,Active
CPA_ACC_006,CCA_02_ACC,Transparency and Accountability,CPA_ACC_006,Stakeholder communication,"Assesses whether the CSO has a clear, documented, and consistently applied practice for stakeholder communication.",The organization should demonstrate a practical and evidence-informed approach to stakeholder communication.,DGNEAR_SO3_3,GS_C08; GS_C11,Relevant staff cannot consistently apply or document stakeholder communication in day-to-day organizational practice.,Use a simple tool or procedure to apply stakeholder communication in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating stakeholder communication.",TLG_PROGRAM_MANAGER,Skill,Partly course-addressable,Low,Transparency and Accountability,Annex 4 — Transparency and Accountability,6,Active
CPA_ACC_007,CCA_02_ACC,Transparency and Accountability,CPA_ACC_007,Accountability reporting,"Assesses whether the CSO has a clear, documented, and consistently applied practice for accountability reporting.",The organization should demonstrate a practical and evidence-informed approach to accountability reporting.,DGNEAR_SO3_3,GS_C08; GS_C11,Relevant staff cannot consistently apply or document accountability reporting in day-to-day organizational practice.,Use a simple tool or procedure to apply accountability reporting in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating accountability reporting.",TLG_PROGRAM_MANAGER,Knowledge,Course-addressable,Low,Transparency and Accountability,Annex 4 — Transparency and Accountability,7,Active
CPA_ACC_008,CCA_02_ACC,Transparency and Accountability,CPA_ACC_008,Feedback response,"Assesses whether the CSO has a clear, documented, and consistently applied practice for feedback response.",The organization should demonstrate a practical and evidence-informed approach to feedback response.,DGNEAR_SO3_3,GS_C08; GS_C11,Relevant staff cannot consistently apply or document feedback response in day-to-day organizational practice.,Use a simple tool or procedure to apply feedback response in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating feedback response.",TLG_PROGRAM_MANAGER,Skill,Course-addressable,Low,Transparency and Accountability,Annex 4 — Transparency and Accountability,8,Active
CPA_ACC_009,CCA_02_ACC,Transparency and Accountability,CPA_ACC_009,Open organization practice,"Assesses whether the CSO has a clear, documented, and consistently applied practice for open organization practice.",The organization should demonstrate a practical and evidence-informed approach to open organization practice.,DGNEAR_SO3_3,GS_C08; GS_C11,Relevant staff cannot consistently apply or document open organization practice in day-to-day organizational practice.,Use a simple tool or procedure to apply open organization practice in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating open organization practice.",TLG_PROGRAM_MANAGER,Knowledge,Partly course-addressable,Low,Transparency and Accountability,Annex 4 — Transparency and Accountability,9,Active
CPA_ACC_010,CCA_02_ACC,Transparency and Accountability,CPA_ACC_010,Trust-building,"Assesses whether the CSO has a clear, documented, and consistently applied practice for trust-building.",The organization should demonstrate a practical and evidence-informed approach to trust-building.,DGNEAR_SO3_3,GS_C08; GS_C11,Relevant staff cannot consistently apply or document trust-building in day-to-day organizational practice.,Use a simple tool or procedure to apply trust-building in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating trust-building.",TLG_PROGRAM_MANAGER,Skill,Course-addressable,Low,Transparency and Accountability,Annex 4 — Transparency and Accountability,10,Active
CPA_STR_001,CCA_03_STR,Strategic Planning and Organizational Sustainability,CPA_STR_001,Mission clarity,"Assesses whether the CSO has a clear, documented, and consistently applied practice for mission clarity.",The organization should demonstrate a practical and evidence-informed approach to mission clarity.,DGNEAR_SO3_1,GS_C04; GS_C11,Relevant staff cannot consistently apply or document mission clarity in day-to-day organizational practice.,Use a simple tool or procedure to apply mission clarity in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating mission clarity.",TLG_EXEC_LEADER,Knowledge,Course-addressable,Low,Strategic Planning and Organizational Sustainability,Annex 4 — Strategic Planning and Organizational Sustainability,1,Active
CPA_STR_002,CCA_03_STR,Strategic Planning and Organizational Sustainability,CPA_STR_002,Organizational identity,"Assesses whether the CSO has a clear, documented, and consistently applied practice for organizational identity.",The organization should demonstrate a practical and evidence-informed approach to organizational identity.,DGNEAR_SO3_1,GS_C04; GS_C11,Relevant staff cannot consistently apply or document organizational identity in day-to-day organizational practice.,Use a simple tool or procedure to apply organizational identity in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating organizational identity.",TLG_EXEC_LEADER,Skill,Course-addressable,Low,Strategic Planning and Organizational Sustainability,Annex 4 — Strategic Planning and Organizational Sustainability,2,Active
CPA_STR_003,CCA_03_STR,Strategic Planning and Organizational Sustainability,CPA_STR_003,Strategic priorities,"Assesses whether the CSO has a clear, documented, and consistently applied practice for strategic priorities.",The organization should demonstrate a practical and evidence-informed approach to strategic priorities.,DGNEAR_SO3_1,GS_C04; GS_C11,Relevant staff cannot consistently apply or document strategic priorities in day-to-day organizational practice.,Use a simple tool or procedure to apply strategic priorities in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating strategic priorities.",TLG_EXEC_LEADER,Knowledge,Partly course-addressable,Low,Strategic Planning and Organizational Sustainability,Annex 4 — Strategic Planning and Organizational Sustainability,3,Active
CPA_STR_004,CCA_03_STR,Strategic Planning and Organizational Sustainability,CPA_STR_004,Operational planning,"Assesses whether the CSO has a clear, documented, and consistently applied practice for operational planning.",The organization should demonstrate a practical and evidence-informed approach to operational planning.,DGNEAR_SO3_1,GS_C04; GS_C11,Relevant staff cannot consistently apply or document operational planning in day-to-day organizational practice.,Use a simple tool or procedure to apply operational planning in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating operational planning.",TLG_EXEC_LEADER,Skill,Course-addressable,Low,Strategic Planning and Organizational Sustainability,Annex 4 — Strategic Planning and Organizational Sustainability,4,Active
CPA_STR_005,CCA_03_STR,Strategic Planning and Organizational Sustainability,CPA_STR_005,Risk management,"Assesses whether the CSO has a clear, documented, and consistently applied practice for risk management.",The organization should demonstrate a practical and evidence-informed approach to risk management.,DGNEAR_SO3_1,GS_C04; GS_C11,Relevant staff cannot consistently apply or document risk management in day-to-day organizational practice.,Use a simple tool or procedure to apply risk management in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating risk management.",TLG_EXEC_LEADER,Knowledge,Course-addressable,Low,Strategic Planning and Organizational Sustainability,Annex 4 — Strategic Planning and Organizational Sustainability,5,Active
CPA_STR_006,CCA_03_STR,Strategic Planning and Organizational Sustainability,CPA_STR_006,Sustainability planning,"Assesses whether the CSO has a clear, documented, and consistently applied practice for sustainability planning.",The organization should demonstrate a practical and evidence-informed approach to sustainability planning.,DGNEAR_SO3_1,GS_C04; GS_C11,Relevant staff cannot consistently apply or document sustainability planning in day-to-day organizational practice.,Use a simple tool or procedure to apply sustainability planning in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating sustainability planning.",TLG_EXEC_LEADER,Skill,Partly course-addressable,Low,Strategic Planning and Organizational Sustainability,Annex 4 — Strategic Planning and Organizational Sustainability,6,Active
CPA_STR_007,CCA_03_STR,Strategic Planning and Organizational Sustainability,CPA_STR_007,Adaptation and learning,"Assesses whether the CSO has a clear, documented, and consistently applied practice for adaptation and learning.",The organization should demonstrate a practical and evidence-informed approach to adaptation and learning.,DGNEAR_SO3_1,GS_C04; GS_C11,Relevant staff cannot consistently apply or document adaptation and learning in day-to-day organizational practice.,Use a simple tool or procedure to apply adaptation and learning in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating adaptation and learning.",TLG_EXEC_LEADER,Knowledge,Course-addressable,Low,Strategic Planning and Organizational Sustainability,Annex 4 — Strategic Planning and Organizational Sustainability,7,Active
CPA_STR_008,CCA_03_STR,Strategic Planning and Organizational Sustainability,CPA_STR_008,Scenario planning,"Assesses whether the CSO has a clear, documented, and consistently applied practice for scenario planning.",The organization should demonstrate a practical and evidence-informed approach to scenario planning.,DGNEAR_SO3_1,GS_C04; GS_C11,Relevant staff cannot consistently apply or document scenario planning in day-to-day organizational practice.,Use a simple tool or procedure to apply scenario planning in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating scenario planning.",TLG_EXEC_LEADER,Skill,Course-addressable,Low,Strategic Planning and Organizational Sustainability,Annex 4 — Strategic Planning and Organizational Sustainability,8,Active
CPA_STR_009,CCA_03_STR,Strategic Planning and Organizational Sustainability,CPA_STR_009,Organizational SWOT,"Assesses whether the CSO has a clear, documented, and consistently applied practice for organizational swot.",The organization should demonstrate a practical and evidence-informed approach to organizational swot.,DGNEAR_SO3_1,GS_C04; GS_C11,Relevant staff cannot consistently apply or document organizational swot in day-to-day organizational practice.,Use a simple tool or procedure to apply organizational swot in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating organizational swot.",TLG_EXEC_LEADER,Knowledge,Partly course-addressable,Low,Strategic Planning and Organizational Sustainability,Annex 4 — Strategic Planning and Organizational Sustainability,9,Active
CPA_STR_010,CCA_03_STR,Strategic Planning and Organizational Sustainability,CPA_STR_010,Planning-to-action linkage,"Assesses whether the CSO has a clear, documented, and consistently applied practice for planning-to-action linkage.",The organization should demonstrate a practical and evidence-informed approach to planning-to-action linkage.,DGNEAR_SO3_1,GS_C04; GS_C11,Relevant staff cannot consistently apply or document planning-to-action linkage in day-to-day organizational practice.,Use a simple tool or procedure to apply planning-to-action linkage in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating planning-to-action linkage.",TLG_EXEC_LEADER,Skill,Course-addressable,Low,Strategic Planning and Organizational Sustainability,Annex 4 — Strategic Planning and Organizational Sustainability,10,Active
CPA_FIN_001,CCA_04_FIN,Financial Management and Resource Mobilization,CPA_FIN_001,Basic budgeting,"Assesses whether the CSO has a clear, documented, and consistently applied practice for basic budgeting.",The organization should demonstrate a practical and evidence-informed approach to basic budgeting.,DGNEAR_SO3_7,GS_C10,Relevant staff cannot consistently apply or document basic budgeting in day-to-day organizational practice.,Use a simple tool or procedure to apply basic budgeting in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating basic budgeting.",TLG_FINANCE_ADMIN,Knowledge,Course-addressable,Low,Financial Management and Resource Mobilization,Annex 4 — Financial Management and Resource Mobilization,1,Active
CPA_FIN_002,CCA_04_FIN,Financial Management and Resource Mobilization,CPA_FIN_002,Donor budget justification,"Assesses whether the CSO has a clear, documented, and consistently applied practice for donor budget justification.",The organization should demonstrate a practical and evidence-informed approach to donor budget justification.,DGNEAR_SO3_7,GS_C10,Relevant staff cannot consistently apply or document donor budget justification in day-to-day organizational practice.,Use a simple tool or procedure to apply donor budget justification in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating donor budget justification.",TLG_FINANCE_ADMIN,Skill,Course-addressable,Low,Financial Management and Resource Mobilization,Annex 4 — Financial Management and Resource Mobilization,2,Active
CPA_FIN_003,CCA_04_FIN,Financial Management and Resource Mobilization,CPA_FIN_003,Financial documentation,"Assesses whether the CSO has a clear, documented, and consistently applied practice for financial documentation.",The organization should demonstrate a practical and evidence-informed approach to financial documentation.,DGNEAR_SO3_7,GS_C10,Relevant staff cannot consistently apply or document financial documentation in day-to-day organizational practice.,Use a simple tool or procedure to apply financial documentation in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating financial documentation.",TLG_FINANCE_ADMIN,Knowledge,Partly course-addressable,Low,Financial Management and Resource Mobilization,Annex 4 — Financial Management and Resource Mobilization,3,Active
CPA_FIN_004,CCA_04_FIN,Financial Management and Resource Mobilization,CPA_FIN_004,Internal controls,"Assesses whether the CSO has a clear, documented, and consistently applied practice for internal controls.",The organization should demonstrate a practical and evidence-informed approach to internal controls.,DGNEAR_SO3_7,GS_C10,Relevant staff cannot consistently apply or document internal controls in day-to-day organizational practice.,Use a simple tool or procedure to apply internal controls in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating internal controls.",TLG_FINANCE_ADMIN,Skill,Course-addressable,Low,Financial Management and Resource Mobilization,Annex 4 — Financial Management and Resource Mobilization,4,Active
CPA_FIN_005,CCA_04_FIN,Financial Management and Resource Mobilization,CPA_FIN_005,Financial reporting,"Assesses whether the CSO has a clear, documented, and consistently applied practice for financial reporting.",The organization should demonstrate a practical and evidence-informed approach to financial reporting.,DGNEAR_SO3_7,GS_C10,Relevant staff cannot consistently apply or document financial reporting in day-to-day organizational practice.,Use a simple tool or procedure to apply financial reporting in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating financial reporting.",TLG_FINANCE_ADMIN,Knowledge,Course-addressable,Low,Financial Management and Resource Mobilization,Annex 4 — Financial Management and Resource Mobilization,5,Active
CPA_FIN_006,CCA_04_FIN,Financial Management and Resource Mobilization,CPA_FIN_006,Funding diversification,"Assesses whether the CSO has a clear, documented, and consistently applied practice for funding diversification.",The organization should demonstrate a practical and evidence-informed approach to funding diversification.,DGNEAR_SO3_7,GS_C10,Relevant staff cannot consistently apply or document funding diversification in day-to-day organizational practice.,Use a simple tool or procedure to apply funding diversification in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating funding diversification.",TLG_FINANCE_ADMIN,Skill,Partly course-addressable,Low,Financial Management and Resource Mobilization,Annex 4 — Financial Management and Resource Mobilization,6,Active
CPA_FIN_007,CCA_04_FIN,Financial Management and Resource Mobilization,CPA_FIN_007,Donor mapping,"Assesses whether the CSO has a clear, documented, and consistently applied practice for donor mapping.",The organization should demonstrate a practical and evidence-informed approach to donor mapping.,DGNEAR_SO3_7,GS_C10,Relevant staff cannot consistently apply or document donor mapping in day-to-day organizational practice.,Use a simple tool or procedure to apply donor mapping in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating donor mapping.",TLG_FINANCE_ADMIN,Knowledge,Course-addressable,Low,Financial Management and Resource Mobilization,Annex 4 — Financial Management and Resource Mobilization,7,Active
CPA_FIN_008,CCA_04_FIN,Financial Management and Resource Mobilization,CPA_FIN_008,Fundraising plan,"Assesses whether the CSO has a clear, documented, and consistently applied practice for fundraising plan.",The organization should demonstrate a practical and evidence-informed approach to fundraising plan.,DGNEAR_SO3_7,GS_C10,Relevant staff cannot consistently apply or document fundraising plan in day-to-day organizational practice.,Use a simple tool or procedure to apply fundraising plan in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating fundraising plan.",TLG_FINANCE_ADMIN,Skill,Course-addressable,Low,Financial Management and Resource Mobilization,Annex 4 — Financial Management and Resource Mobilization,8,Active
CPA_FIN_009,CCA_04_FIN,Financial Management and Resource Mobilization,CPA_FIN_009,Social enterprise readiness,"Assesses whether the CSO has a clear, documented, and consistently applied practice for social enterprise readiness.",The organization should demonstrate a practical and evidence-informed approach to social enterprise readiness.,DGNEAR_SO3_7,GS_C10,Relevant staff cannot consistently apply or document social enterprise readiness in day-to-day organizational practice.,Use a simple tool or procedure to apply social enterprise readiness in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating social enterprise readiness.",TLG_FINANCE_ADMIN,Knowledge,Partly course-addressable,Low,Financial Management and Resource Mobilization,Annex 4 — Financial Management and Resource Mobilization,9,Active
CPA_FIN_010,CCA_04_FIN,Financial Management and Resource Mobilization,CPA_FIN_010,Financial transparency,"Assesses whether the CSO has a clear, documented, and consistently applied practice for financial transparency.",The organization should demonstrate a practical and evidence-informed approach to financial transparency.,DGNEAR_SO3_7,GS_C10,Relevant staff cannot consistently apply or document financial transparency in day-to-day organizational practice.,Use a simple tool or procedure to apply financial transparency in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating financial transparency.",TLG_FINANCE_ADMIN,Skill,Course-addressable,Low,Financial Management and Resource Mobilization,Annex 4 — Financial Management and Resource Mobilization,10,Active
CPA_HR_001,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_001,Recruitment,"Assesses whether the CSO has a clear, documented, and consistently applied practice for recruitment.",The organization should demonstrate a practical and evidence-informed approach to recruitment.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document recruitment in day-to-day organizational practice.,Use a simple tool or procedure to apply recruitment in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating recruitment.",TLG_HR_ADMIN,Knowledge,Course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",1,Active
CPA_HR_002,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_002,Staff onboarding,"Assesses whether the CSO has a clear, documented, and consistently applied practice for staff onboarding.",The organization should demonstrate a practical and evidence-informed approach to staff onboarding.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document staff onboarding in day-to-day organizational practice.,Use a simple tool or procedure to apply staff onboarding in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating staff onboarding.",TLG_HR_ADMIN,Skill,Course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",2,Active
CPA_HR_003,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_003,Volunteer management,"Assesses whether the CSO has a clear, documented, and consistently applied practice for volunteer management.",The organization should demonstrate a practical and evidence-informed approach to volunteer management.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document volunteer management in day-to-day organizational practice.,Use a simple tool or procedure to apply volunteer management in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating volunteer management.",TLG_HR_ADMIN,Knowledge,Partly course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",3,Active
CPA_HR_004,CCA_05_HR,"Human Resources, Inclusion, and Safeguarding",CPA_HR_004,Role clarity,"Assesses whether the CSO has a clear, documented, and consistently applied practice for role clarity.",The organization should demonstrate a practical and evidence-informed approach to role clarity.,DGNEAR_SO3_8,GS_C09; GS_C02,Relevant staff cannot consistently apply or document role clarity in day-to-day organizational practice.,Use a simple tool or procedure to apply role clarity in a realistic CSO task.,"Completed worksheet, checklist, or redacted work sample demonstrating role clarity.",TLG_HR_ADMIN,Skill,Course-addressable,Moderate,"Human Resources, Inclusion, and Safeguarding","Annex 4 — Human Resources, Inclusion, and Safeguarding",4,Active
